audio_1|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser
audio_380|X M L allows the use of any of the Unicode-defined encodings and any other encodings whose characters also appear in Unicode|X M L allows the use of any of the Unicode-defined encodings and any other encodings whose characters also appear in Unicode
audio_381|X M L also provides a mechanism whereby an X M L processor can reliably, without any prior knowledge, determine which encoding is being used.14 Encodings other than UTF-8 and UTF-16 are not necessarily recognized by every X M L parser and in some cases not even UTF-16, even though the standard mandates it to also be recognized.|X M L also provides a mechanism whereby an X M L processor can reliably, without any prior knowledge, determine which encoding is being used.14 Encodings other than UTF-8 and UTF-16 are not necessarily recognized by every X M L parser and in some cases not even UTF-16, even though the standard mandates it to also be recognized.
audio_382|X M L provides escape facilities for including characters that are problematic to include directly|X M L provides escape facilities for including characters that are problematic to include directly
audio_383|A user whose keyboard offers no method for entering this character could still insert it in an X M L document encoded either as two hundred13 or x4e2d|A user whose keyboard offers no method for entering this character could still insert it in an X M L document encoded either as two hundred13 or x4e2d
audio_384|Similarly, the string "I 3 Jörg" could be encoded for inclusion in an X M L document as I lt3 JxF6rg.|Similarly, the string "I 3 Jörg" could be encoded for inclusion in an X M L document as I lt3 JxF6rg.
audio_385|0 is not permitted because the null character is one of the control characters excluded from X M L, even when using a numeric character reference.16 An alternative encoding mechanism such as Base64 is needed to represent such characters.|0 is not permitted because the null character is one of the control characters excluded from X M L, even when using a numeric character reference.16 An alternative encoding mechanism such as Base64 is needed to represent such characters.
audio_386|Comments cannot appear before the X M L declaration|Comments cannot appear before the X M L declaration
audio_387|X M L 1.0 Fifth Edition and X M L 1.1 support the direct use of almost any Unicode character in element names, attributes, comments, character data, and processing instructions other than the ones that have special symbolic meaning in X M L itself, such as the less-than sign, ""|X M L 1.0 Fifth Edition and X M L 1.1 support the direct use of almost any Unicode character in element names, attributes, comments, character data, and processing instructions other than the ones that have special symbolic meaning in X M L itself, such as the less-than sign, ""
audio_388|The following is a well-formed X M L document including Chinese, Armenian and Cyrillic characters|The following is a well-formed X M L document including Chinese, Armenian and Cyrillic characters
audio_389|The X M L specification defines an X M L document as a well-formed text, meaning that it satisfies a list of syntax rules provided in the specification|The X M L specification defines an X M L document as a well-formed text, meaning that it satisfies a list of syntax rules provided in the specification
audio_390|The definition of an X M L document excludes texts that contain violations of well-formedness rules they are simply not X M L|The definition of an X M L document excludes texts that contain violations of well-formedness rules they are simply not X M L
audio_391|An X M L processor that encounters such a violation is required to report such errors and to cease normal processing|An X M L processor that encounters such a violation is required to report such errors and to cease normal processing
audio_392|This policy, occasionally referred to as "draconian error handling", stands in notable contrast to the behavior of programs that process H T M L, which are designed to produce a reasonable result even in the presence of severe markup errors.18 X M L's policy in this area has been criticized as a violation of Postel's law "Be conservative in what you send be liberal in what you accept".19|This policy, occasionally referred to as "draconian error handling", stands in notable contrast to the behavior of programs that process H T M L, which are designed to produce a reasonable result even in the presence of severe markup errors.18 X M L's policy in this area has been criticized as a violation of Postel's law "Be conservative in what you send be liberal in what you accept".19
audio_393|The X M L specification defines a valid X M L document as a well-formed X M L document which also conforms to the rules of a Document Type Definition DTD.2021|The X M L specification defines a valid X M L document as a well-formed X M L document which also conforms to the rules of a Document Type Definition DTD.2021
audio_394|In addition to being well formed, an X M L document may be valid|In addition to being well formed, an X M L document may be valid
audio_395|X M L processors are classified as validating or non-validating depending on whether or not they check X M L documents for validity|X M L processors are classified as validating or non-validating depending on whether or not they check X M L documents for validity
audio_396|A processor that discovers a validity error must be able to report it, but may continue normal processing.|A processor that discovers a validity error must be able to report it, but may continue normal processing.
audio_397|Since the initial publication of X M L 1.0, there has been substantial work in the area of schema languages for X M L|Since the initial publication of X M L 1.0, there has been substantial work in the area of schema languages for X M L
audio_398|The oldest schema language for X M L is the document type definition DTD, inherited from SGML.|The oldest schema language for X M L is the document type definition DTD, inherited from SGML.
audio_399|Two peculiar features that distinguish DTDs from other schema types are the syntactic support for embedding a DTD within X M L documents and for defining entities, which are arbitrary fragments of text or markup that the X M L processor inserts in the DTD itself and in the X M L document wherever they are referenced, like character escapes.|Two peculiar features that distinguish DTDs from other schema types are the syntactic support for embedding a DTD within X M L documents and for defining entities, which are arbitrary fragments of text or markup that the X M L processor inserts in the DTD itself and in the X M L document wherever they are referenced, like character escapes.
audio_400|DTD technology is still used in many applications because of its ubiquity.|DTD technology is still used in many applications because of its ubiquity.
audio_401|A newer schema language, described by the W3C as the successor of DTDs, is X M L Schema, often referred to by the initialism for X M L Schema instances, XSD X M L Schema Definition|A newer schema language, described by the W3C as the successor of DTDs, is X M L Schema, often referred to by the initialism for X M L Schema instances, XSD X M L Schema Definition
audio_402|XSDs are far more powerful than DTDs in describing X M L languages|XSDs are far more powerful than DTDs in describing X M L languages
audio_403|They use a rich datatyping system and allow for more detailed constraints on an X M L document's logical structure|They use a rich datatyping system and allow for more detailed constraints on an X M L document's logical structure
audio_404|XSDs also use an X M L-based format, which makes it possible to use ordinary X M L tools to help process them.|XSDs also use an X M L-based format, which makes it possible to use ordinary X M L tools to help process them.
audio_405|RELAX NG Regular Language for X M L Next Generation was initially specified by OASIS and is now a standard Part 2 Regular-grammar-based validation of ISOIEC 19757  DSDL|RELAX NG Regular Language for X M L Next Generation was initially specified by OASIS and is now a standard Part 2 Regular-grammar-based validation of ISOIEC 19757  DSDL
audio_406|RELAX NG schemas may be written in either an X M L based syntax or a more compact non-X M L syntax the two syntaxes are isomorphic and James Clark's conversion toolTrangcan convert between them without loss of information|RELAX NG schemas may be written in either an X M L based syntax or a more compact non-X M L syntax the two syntaxes are isomorphic and James Clark's conversion toolTrangcan convert between them without loss of information
audio_407|RELAX NG has a simpler definition and validation framework than X M L Schema, making it easier to use and implement|RELAX NG has a simpler definition and validation framework than X M L Schema, making it easier to use and implement
audio_408|It also has the ability to use datatype framework plug-ins a RELAX NG schema author, for example, can require values in an X M L document to conform to definitions in X M L Schema Datatypes.|It also has the ability to use datatype framework plug-ins a RELAX NG schema author, for example, can require values in an X M L document to conform to definitions in X M L Schema Datatypes.
audio_409|Schematron is a language for making assertions about the presence or absence of patterns in an X M L document|Schematron is a language for making assertions about the presence or absence of patterns in an X M L document
audio_410|DSDL schema languages do not have the vendor support of X M L Schemas yet, and are to some extent a grassroots reaction of industrial publishers to the lack of utility of X M L Schemas for publishing.|DSDL schema languages do not have the vendor support of X M L Schemas yet, and are to some extent a grassroots reaction of industrial publishers to the lack of utility of X M L Schemas for publishing.
audio_411|Some schema languages not only describe the structure of a particular X M L format but also offer limited facilities to influence processing of individual X M L files that conform to this format|Some schema languages not only describe the structure of a particular X M L format but also offer limited facilities to influence processing of individual X M L files that conform to this format
audio_412|A cluster of specifications closely related to X M L have been developed, starting soon after the initial publication of X M L 1.0|A cluster of specifications closely related to X M L have been developed, starting soon after the initial publication of X M L 1.0
audio_413|It is frequently the case that the term "X M L" is used to refer to X M L together with one or more of these other technologies that have come to be seen as part of the X M L core.|It is frequently the case that the term "X M L" is used to refer to X M L together with one or more of these other technologies that have come to be seen as part of the X M L core.
audio_414|Some other specifications conceived as part of the "X M L Core" have failed to find wide adoption, including XInclude, XLink, and XPointer.|Some other specifications conceived as part of the "X M L Core" have failed to find wide adoption, including XInclude, XLink, and XPointer.
audio_415|The design goals of X M L include, "It shall be easy to write programs which process X M L documents."6 Despite this, the X M L specification contains almost no information about how programmers might go about doing such processing|The design goals of X M L include, "It shall be easy to write programs which process X M L documents."6 Despite this, the X M L specification contains almost no information about how programmers might go about doing such processing
audio_416|The X M L Infoset specification provides a vocabulary to refer to the constructs within an X M L document, but does not provide any guidance on how to access this information|The X M L Infoset specification provides a vocabulary to refer to the constructs within an X M L document, but does not provide any guidance on how to access this information
audio_417|A variety of A P Is for accessing X M L have been developed and used, and some have been standardized.|A variety of A P Is for accessing X M L have been developed and used, and some have been standardized.
audio_418|Existing A P Is for X M L processing tend to fall into these categories|Existing A P Is for X M L processing tend to fall into these categories
audio_419|Stream-oriented facilities require less memory and, for certain tasks based on a linear traversal of an X M L document, are faster and simpler than other alternatives|Stream-oriented facilities require less memory and, for certain tasks based on a linear traversal of an X M L document, are faster and simpler than other alternatives
audio_420|Tree-traversal and data-binding A P Is typically require the use of much more memory, but are often found more convenient for use by programmers some include declarative retrieval of document components via the use of XPath expressions.|Tree-traversal and data-binding A P Is typically require the use of much more memory, but are often found more convenient for use by programmers some include declarative retrieval of document components via the use of XPath expressions.
audio_421|XSLT is designed for declarative description of X M L document transformations, and has been widely implemented both in server-side packages and Web browsers|XSLT is designed for declarative description of X M L document transformations, and has been widely implemented both in server-side packages and Web browsers
audio_422|XQuery overlaps XSLT in its functionality, but is designed more for searching of large X M L databases.|XQuery overlaps XSLT in its functionality, but is designed more for searching of large X M L databases.
audio_423|Simple A P I for X M L SAX is a lexical, event-driven A P I in which a document is read serially and its contents are reported as callbacks to various methods on a handler object of the user's design|Simple A P I for X M L SAX is a lexical, event-driven A P I in which a document is read serially and its contents are reported as callbacks to various methods on a handler object of the user's design
audio_424|SAX is fast and efficient to implement, but difficult to use for extracting information at random from the X M L, since it tends to burden the application author with keeping track of what part of the document is being processed|SAX is fast and efficient to implement, but difficult to use for extracting information at random from the X M L, since it tends to burden the application author with keeping track of what part of the document is being processed
audio_425|It is better suited to situations in which certain types of information are always handled the same way, no matter where they occur in the document.|It is better suited to situations in which certain types of information are always handled the same way, no matter where they occur in the document.
audio_426|This allows for writing of recursive descent parsers in which the structure of the code performing the parsing mirrors the structure of the X M L being parsed, and intermediate parsed results can be used and accessed as local variables within the functions performing the parsing, or passed down as function parameters into lower-level functions, or returned as function return values to higher-level functions.22 Examples of pull parsers include DataEditXml in Perl, StAX in the Java programming language, X M LPullParser in Smalltalk, X M LReader in P H P, ElementTree.iterparse in Python, SmartX M L in Red, System.Xml.XmlReader in the .NET Framework, and the DOM traversal A P I NodeIterator and TreeWalker.|This allows for writing of recursive descent parsers in which the structure of the code performing the parsing mirrors the structure of the X M L being parsed, and intermediate parsed results can be used and accessed as local variables within the functions performing the parsing, or passed down as function parameters into lower-level functions, or returned as function return values to higher-level functions.22 Examples of pull parsers include DataEditXml in Perl, StAX in the Java programming language, X M LPullParser in Smalltalk, X M LReader in P H P, ElementTree.iterparse in Python, SmartX M L in Red, System.Xml.XmlReader in the .NET Framework, and the DOM traversal A P I NodeIterator and TreeWalker.
audio_427|A pull parser creates an iterator that sequentially visits the various elements, attributes, and data in an X M L document|A pull parser creates an iterator that sequentially visits the various elements, attributes, and data in an X M L document
audio_428|Code that uses this iterator can test the current item to tell, for example, whether it is a start-tag or end-tag, or text, and inspect its attributes local name, namespace, values of X M L attributes, value of text, etc., and can also move the iterator to the next item|Code that uses this iterator can test the current item to tell, for example, whether it is a start-tag or end-tag, or text, and inspect its attributes local name, namespace, values of X M L attributes, value of text, etc., and can also move the iterator to the next item
audio_429|The code can thus extract information from the document as it traverses it|The code can thus extract information from the document as it traverses it
audio_430|The recursive-descent approach tends to lend itself to keeping data as typed local variables in the code doing the parsing, while SAX, for instance, typically requires a parser to manually maintain intermediate data within a stack of elements that are parent elements of the element being parsed|The recursive-descent approach tends to lend itself to keeping data as typed local variables in the code doing the parsing, while SAX, for instance, typically requires a parser to manually maintain intermediate data within a stack of elements that are parent elements of the element being parsed
audio_431|Document Object Model DOM is an A P I that allows for navigation of the entire document as if it were a tree of node objects representing the document's contents|Document Object Model DOM is an A P I that allows for navigation of the entire document as if it were a tree of node objects representing the document's contents
audio_432|DOM implementations tend to be memory intensive, as they generally require the entire document to be loaded into memory and constructed as a tree of objects before access is allowed.|DOM implementations tend to be memory intensive, as they generally require the entire document to be loaded into memory and constructed as a tree of objects before access is allowed.
audio_433|X M L data binding is a technique for simplifying development of applications that need to work with X M L documents|X M L data binding is a technique for simplifying development of applications that need to work with X M L documents
audio_434|It involves mapping the X M L document to a hierarchy of strongly typed objects, rather than using the generic objects created by a DOM parser|It involves mapping the X M L document to a hierarchy of strongly typed objects, rather than using the generic objects created by a DOM parser
audio_435|X M L data binding is particularly well-suited for applications where the document structure is known and fixed at the time the application is written|X M L data binding is particularly well-suited for applications where the document structure is known and fixed at the time the application is written
audio_436|By creating a strongly typed representation of the X M L data, developers can take advantage of modern integrated development environments IDEs that provide features like auto-complete, code refactoring, and code highlighting|By creating a strongly typed representation of the X M L data, developers can take advantage of modern integrated development environments IDEs that provide features like auto-complete, code refactoring, and code highlighting
audio_437|Example data-binding systems include the Java Architecture for X M L Binding JAXB, X M L Serialization in .NET Framework,23 and X M L serialization in gSOAP.|Example data-binding systems include the Java Architecture for X M L Binding JAXB, X M L Serialization in .NET Framework,23 and X M L serialization in gSOAP.
audio_438|X M L has appeared as a first-class data type in other languages|X M L has appeared as a first-class data type in other languages
audio_439|The ECMAScript for X M L E4X extension to the ECMAScriptJava-Script language explicitly defines two specific objects X M L and X M LList for Java-Script, which support X M L document nodes and X M L node lists as distinct objects and use a dot-notation specifying parent-child relationships.24 E4X is supported by the Mozilla 2.5 browsers though now deprecated and Adobe Actionscript but has not been widely adopted|The ECMAScript for X M L E4X extension to the ECMAScriptJava-Script language explicitly defines two specific objects X M L and X M LList for Java-Script, which support X M L document nodes and X M L node lists as distinct objects and use a dot-notation specifying parent-child relationships.24 E4X is supported by the Mozilla 2.5 browsers though now deprecated and Adobe Actionscript but has not been widely adopted
audio_440|The open-source xmlsh application, which provides a Li-nux-like shell with special features for X M L manipulation, similarly treats X M L as a data type, using the   notation.25 The Resource Description Framework defines a data type rdfX M LLiteral to hold wrapped, canonical X M L.26 Facebook has produced extensions to the P H P and Java-Script languages that add X M L to the core syntax in a similar fashion to E4X, namely XHP and JSX respectively.|The open-source xmlsh application, which provides a Li-nux-like shell with special features for X M L manipulation, similarly treats X M L as a data type, using the   notation.25 The Resource Description Framework defines a data type rdfX M LLiteral to hold wrapped, canonical X M L.26 Facebook has produced extensions to the P H P and Java-Script languages that add X M L to the core syntax in a similar fashion to E4X, namely XHP and JSX respectively.
audio_441|X M L is an application profile of SGML ISO 8879.27|X M L is an application profile of SGML ISO 8879.27
audio_442|The versatility of SGML for dynamic information display was understood by early digital media publishers in the late 1980s prior to the rise of the Internet.2829 By the mid-1990s some practitioners of SGML had gained experience with the then-new World Wide Web, and believed that SGML offered solutions to some of the problems the Web was likely to face as it grew|The versatility of SGML for dynamic information display was understood by early digital media publishers in the late 1980s prior to the rise of the Internet.2829 By the mid-1990s some practitioners of SGML had gained experience with the then-new World Wide Web, and believed that SGML offered solutions to some of the problems the Web was likely to face as it grew
audio_443|Dan Connolly added SGML to the list of W3C's activities when he joined the staff in 1995 work began in mid-1996 when Sun Microsystems engineer Jon Bosak developed a charter and recruited collaborators|Dan Connolly added SGML to the list of W3C's activities when he joined the staff in 1995 work began in mid-1996 when Sun Microsystems engineer Jon Bosak developed a charter and recruited collaborators
audio_444|X M L was compiled by a working group of eleven members,31 supported by a roughly 150-member Interest Group|X M L was compiled by a working group of eleven members,31 supported by a roughly 150-member Interest Group
audio_445|A record of design decisions and their rationales was compiled by Michael Sperberg-McQueen on December 4, 1997.32 James Clark served as Technical Lead of the Working Group, notably contributing the empty-element empty  syntax and the name "X M L"|A record of design decisions and their rationales was compiled by Michael Sperberg-McQueen on December 4, 1997.32 James Clark served as Technical Lead of the Working Group, notably contributing the empty-element empty  syntax and the name "X M L"
audio_446|The X M L Working Group communicated primarily through email and weekly teleconferences|The X M L Working Group communicated primarily through email and weekly teleconferences
audio_447|The major design decisions were reached in a short burst of intense work between August and November 1996,33 when the first Working Draft of an X M L specification was published.34 Further design work continued through 1997, and X M L 1.0 became a W3C Recommendation on February 10, 1998.|The major design decisions were reached in a short burst of intense work between August and November 1996,33 when the first Working Draft of an X M L specification was published.34 Further design work continued through 1997, and X M L 1.0 became a W3C Recommendation on February 10, 1998.
audio_448|X M L is a profile of an ISO standard SGML, and most of X M L comes from SGML unchanged|X M L is a profile of an ISO standard SGML, and most of X M L comes from SGML unchanged
audio_449|The SGML declaration was removed thus X M L has a fixed delimiter set and adopts Unicode as the document character set.|The SGML declaration was removed thus X M L has a fixed delimiter set and adopts Unicode as the document character set.
audio_450|Other sources of technology for X M L were the TEI Text Encoding Initiative, which defined a profile of SGML for use as a "transfer syntax" and H T M L|Other sources of technology for X M L were the TEI Text Encoding Initiative, which defined a profile of SGML for use as a "transfer syntax" and H T M L
audio_451|The ERCSExtended Reference Concrete Syntax project of the SPREAD Standardization Project Regarding East Asian Documents project of the ISO-related ChinaJapanKorea Document Processing expert group was the basis of X M L 1.0's naming rules SPREAD also introduced hexadecimal numeric character references and the concept of references to make available all Unicode characters|The ERCSExtended Reference Concrete Syntax project of the SPREAD Standardization Project Regarding East Asian Documents project of the ISO-related ChinaJapanKorea Document Processing expert group was the basis of X M L 1.0's naming rules SPREAD also introduced hexadecimal numeric character references and the concept of references to make available all Unicode characters
audio_452|To support ERCS, X M L and H T M L better, the SGML standard IS 8879 was revised in 1996 and 1998 with WebSGML Adaptations.|To support ERCS, X M L and H T M L better, the SGML standard IS 8879 was revised in 1996 and 1998 with WebSGML Adaptations.
audio_453|Ideas that developed during discussion that are novel in X M L included the algorithm for encoding detection and the encoding header, the processing instruction target, the xmlspace attribute, and the new close delimiter for empty-element tags|Ideas that developed during discussion that are novel in X M L included the algorithm for encoding detection and the encoding header, the processing instruction target, the xmlspace attribute, and the new close delimiter for empty-element tags
audio_454|The notion of well-formedness as opposed to validity which enables parsing without a schema was first formalized in X M L, although it had been implemented successfully in the Electronic Book Technology "Dynatext" software35 the software from the University of Waterloo New Oxford English Dictionary Project the RISP LISP SGML text processor at Uniscope, Tokyo the US Army Missile Command IADS hypertext system Mentor Graphics Context Interleaf and Xerox Publishing System.|The notion of well-formedness as opposed to validity which enables parsing without a schema was first formalized in X M L, although it had been implemented successfully in the Electronic Book Technology "Dynatext" software35 the software from the University of Waterloo New Oxford English Dictionary Project the RISP LISP SGML text processor at Uniscope, Tokyo the US Army Missile Command IADS hypertext system Mentor Graphics Context Interleaf and Xerox Publishing System.
audio_455|The first X M L 1.0 was initially defined in 1998|The first X M L 1.0 was initially defined in 1998
audio_456|It has undergone minor revisions since then, without being given a new version number, and is currently in its fifth edition, as published on November 26, two hundred8|It has undergone minor revisions since then, without being given a new version number, and is currently in its fifth edition, as published on November 26, two hundred8
audio_457|The second X M L 1.1 was initially published on February 4, two hundred4, the same day as X M L 1.0 Third Edition,36 and is currently in its second edition, as published on August 16, two hundred6|The second X M L 1.1 was initially published on February 4, two hundred4, the same day as X M L 1.0 Third Edition,36 and is currently in its second edition, as published on August 16, two hundred6
audio_458|It contains features some contentious that are intended to make X M L easier to use in certain cases.37 The main changes are to enable the use of line-ending characters used on EBCDIC platforms, and the use of scripts and characters absent from Unicode 3.2|It contains features some contentious that are intended to make X M L easier to use in certain cases.37 The main changes are to enable the use of line-ending characters used on EBCDIC platforms, and the use of scripts and characters absent from Unicode 3.2
audio_459|X M L 1.1 is not very widely implemented and is recommended for use only by those who need its particular features.38|X M L 1.1 is not very widely implemented and is recommended for use only by those who need its particular features.38
audio_460|Prior to its fifth edition release, X M L 1.0 differed from X M L 1.1 in having stricter requirements for characters available for use in element and attribute names and unique identifiers in the first four editions of X M L 1.0 the characters were exclusively enumerated using a specific version of the Unicode standard Unicode 2.0 to Unicode 3.2. The fifth edition substitutes the mechanism of X M L 1.1, which is more future-proof but reduces redundancy|Prior to its fifth edition release, X M L 1.0 differed from X M L 1.1 in having stricter requirements for characters available for use in element and attribute names and unique identifiers in the first four editions of X M L 1.0 the characters were exclusively enumerated using a specific version of the Unicode standard Unicode 2.0 to Unicode 3.2. The fifth edition substitutes the mechanism of X M L 1.1, which is more future-proof but reduces redundancy
audio_461|The approach taken in the fifth edition of X M L 1.0 and in all editions of X M L 1.1 is that only certain characters are forbidden in names, and everything else is allowed to accommodate suitable name characters in future Unicode versions|The approach taken in the fifth edition of X M L 1.0 and in all editions of X M L 1.1 is that only certain characters are forbidden in names, and everything else is allowed to accommodate suitable name characters in future Unicode versions
audio_462|In the fifth edition, X M L names may contain characters in the Balinese, Cham, or Phoenician scripts among many others added to Unicode since Unicode 3.2.37|In the fifth edition, X M L names may contain characters in the Balinese, Cham, or Phoenician scripts among many others added to Unicode since Unicode 3.2.37
audio_463|Almost any Unicode code point can be used in the character data and attribute values of an X M L 1.01.1 document, even if the character corresponding to the code point is not defined in the current version of Unicode|Almost any Unicode code point can be used in the character data and attribute values of an X M L 1.01.1 document, even if the character corresponding to the code point is not defined in the current version of Unicode
audio_464|In character data and attribute values, X M L 1.1 allows the use of more control characters than X M L 1.0, but, for "robustness", most of the control characters introduced in X M L 1.1 must be expressed as numeric character references and x7F through x9F, which had been allowed in X M L 1.0, are in X M L 1.1 even required to be expressed as numeric character references39|In character data and attribute values, X M L 1.1 allows the use of more control characters than X M L 1.0, but, for "robustness", most of the control characters introduced in X M L 1.1 must be expressed as numeric character references and x7F through x9F, which had been allowed in X M L 1.0, are in X M L 1.1 even required to be expressed as numeric character references39
audio_465|Among the supported control characters in X M L 1.1 are two line break codes that must be treated as whitespace characters, which are the only control codes that can be written directly.|Among the supported control characters in X M L 1.1 are two line break codes that must be treated as whitespace characters, which are the only control codes that can be written directly.
audio_466|There has been discussion of an X M L 2.0, although no organization has announced plans for work on such a project|There has been discussion of an X M L 2.0, although no organization has announced plans for work on such a project
audio_467|X M L-SW SW for skunkworks, which one of the original developers of X M L has written,40 contains some proposals for what an X M L 2.0 might look like, including elimination of DTDs from syntax, as well as integration of X M L namespaces, X M L Base and X M L Information Set into the base standard.|X M L-SW SW for skunkworks, which one of the original developers of X M L has written,40 contains some proposals for what an X M L 2.0 might look like, including elimination of DTDs from syntax, as well as integration of X M L namespaces, X M L Base and X M L Information Set into the base standard.
audio_468|In 2012, James Clark technical lead of the X M L Working Group and John Cowan editor of the X M L 1.1 specification formed the MicroX M L Community Group within the W3C and published a specification for a significantly reduced subset of X M L.41|In 2012, James Clark technical lead of the X M L Working Group and John Cowan editor of the X M L 1.1 specification formed the MicroX M L Community Group within the W3C and published a specification for a significantly reduced subset of X M L.41
audio_469|The World Wide Web Consortium also has an X M L Binary Characterization Working Group doing preliminary research into use cases and properties for a binary encoding of X M L Information Set|The World Wide Web Consortium also has an X M L Binary Characterization Working Group doing preliminary research into use cases and properties for a binary encoding of X M L Information Set
audio_470|Since X M L is by definition text-based, ITU-T and ISO are using the name Fast Infoset for their own binary format ITU-T Rec|Since X M L is by definition text-based, ITU-T and ISO are using the name Fast Infoset for their own binary format ITU-T Rec
audio_471|X M L and its extensions have regularly been criticized for verbosity, complexity and redundancy.42|X M L and its extensions have regularly been criticized for verbosity, complexity and redundancy.42
audio_472|Mapping the basic tree model of X M L to type systems of programming languages or databases can be difficult, especially when X M L is used for exchanging highly structured data between applications, which was not its primary design goal|Mapping the basic tree model of X M L to type systems of programming languages or databases can be difficult, especially when X M L is used for exchanging highly structured data between applications, which was not its primary design goal
audio_473|However, X M L data binding systems allow applications to access X M L data directly from objects representing a data structure of the data in the programming language used, which ensures type safety, rather than using the DOM or SAX to retrieve data from a direct representation of the X M L itself|However, X M L data binding systems allow applications to access X M L data directly from objects representing a data structure of the data in the programming language used, which ensures type safety, rather than using the DOM or SAX to retrieve data from a direct representation of the X M L itself
audio_474|This is accomplished by automatically creating a mapping between elements of the X M L schema XSD of the document and members of a class to be represented in memory.|This is accomplished by automatically creating a mapping between elements of the X M L schema XSD of the document and members of a class to be represented in memory.
audio_475|Other criticisms attempt to refute the claim that X M L is a self-describing language43 though the X M L specification itself makes no such claim.|Other criticisms attempt to refute the claim that X M L is a self-describing language43 though the X M L specification itself makes no such claim.
audio_476|Jay-son, Yam-ul, and S-Expressions are frequently proposed as simpler alternatives see Comparison of data-serialization formats44 that focus on representing highly structured data rather than documents, which may contain both highly structured and relatively unstructured content|Jay-son, Yam-ul, and S-Expressions are frequently proposed as simpler alternatives see Comparison of data-serialization formats44 that focus on representing highly structured data rather than documents, which may contain both highly structured and relatively unstructured content
audio_477|However, W3C standardized X M L schema specifications offer a broader range of structured XSD data types compared to simpler serialization formats and offer modularity and reuse through X M L namespaces.|However, W3C standardized X M L schema specifications offer a broader range of structured XSD data types compared to simpler serialization formats and offer modularity and reuse through X M L namespaces.
audio_478|When A P Is send data, chances are they send it as Jay-son objects|When A P Is send data, chances are they send it as Jay-son objects
audio_479|Here's a primer on why Jay-son is how networked applications send data|Here's a primer on why Jay-son is how networked applications send data
audio_480|From early on, the format that this data was transferred in mattered, and like the web, the best formats were open standards that anyone could use and contribute to|From early on, the format that this data was transferred in mattered, and like the web, the best formats were open standards that anyone could use and contribute to
audio_481|X M L gained early popularity, as it looked like H T M L, the foundation of the web|X M L gained early popularity, as it looked like H T M L, the foundation of the web
audio_482|Thats where Jay-son Java-Script Object Notation comes in|Thats where Jay-son Java-Script Object Notation comes in
audio_483|If youve consumed an A P I in the last five to ten years, youve probably seen Jay-son data|If youve consumed an A P I in the last five to ten years, youve probably seen Jay-son data
audio_484|While the format was first developed in the early two hundred0s, the first standards were published in two hundred6|While the format was first developed in the early two hundred0s, the first standards were published in two hundred6
audio_485|Understanding what Jay-son is and how it works is a foundational skill for any web developer.|Understanding what Jay-son is and how it works is a foundational skill for any web developer.
audio_486|In this article, well cover the basics of what Jay-son looks like and how to use it in your web applications, as well as talk about serialized Jay-sonJST and J W Tand the competing data formats.|In this article, well cover the basics of what Jay-son looks like and how to use it in your web applications, as well as talk about serialized Jay-sonJST and J W Tand the competing data formats.
audio_487|Jay-son is a human-readable format for storing and transmitting data|Jay-son is a human-readable format for storing and transmitting data
audio_488|As the name implies, it was originally developed for Java-Script, but can be used in any language and is very popular in web applications|As the name implies, it was originally developed for Java-Script, but can be used in any language and is very popular in web applications
audio_489|The basic structure is built from one or more keys and values|The basic structure is built from one or more keys and values
audio_490|Youll often see a collection of keyvalue pairs enclosed in brackets described as a Jay-son object|Youll often see a collection of keyvalue pairs enclosed in brackets described as a Jay-son object
audio_491|While the key is any string, the value can be a string, number, array, additional object, or the literals, false, true and null|While the key is any string, the value can be a string, number, array, additional object, or the literals, false, true and null
audio_492|For example, the following is valid Jay-son|For example, the following is valid Jay-son
audio_493|Jay-son doesn't have to have only keyvalue pairs the specification allows to any value to be passed without a key|Jay-son doesn't have to have only keyvalue pairs the specification allows to any value to be passed without a key
audio_494|However, almost all of the Jay-son objects that you see will contain keyvalue pairs.|However, almost all of the Jay-son objects that you see will contain keyvalue pairs.
audio_495|One of the most common uses for Jay-son is when using an A P I, both in requests and responses|One of the most common uses for Jay-son is when using an A P I, both in requests and responses
audio_496|It is much more compact than other standards and allows for easy consumption in web browsers as Java-Script can easily parse Jay-son strings, only requiring Jay-son.parse to start using it.|It is much more compact than other standards and allows for easy consumption in web browsers as Java-Script can easily parse Jay-son strings, only requiring Jay-son.parse to start using it.
audio_497|Jay-son.parsestring takes a string of valid Jay-son and returns a Java-Script object|Jay-son.parsestring takes a string of valid Jay-son and returns a Java-Script object
audio_498|For example, it can be called on the body of an A P I response to give you a usable object|For example, it can be called on the body of an A P I response to give you a usable object
audio_499|The inverse of this function is Jay-son.stringifyobject which takes a Java-Script object and returns a string of Jay-son, which can then be transmitted in an A P I request or response.|The inverse of this function is Jay-son.stringifyobject which takes a Java-Script object and returns a string of Jay-son, which can then be transmitted in an A P I request or response.
audio_500|Jay-son isnt required by REST or GraphQL, both very popular A P I formats|Jay-son isnt required by REST or GraphQL, both very popular A P I formats
audio_501|However, they are often used together, particularly with GraphQL, where it is best practice to use Jay-son due to it being small and mostly text|However, they are often used together, particularly with GraphQL, where it is best practice to use Jay-son due to it being small and mostly text
