clips/audio_1.wav|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser
clips/audio_410.wav|DSDL schema languages do not have the vendor support of X M L Schemas yet, and are to some extent a grassroots reaction of industrial publishers to the lack of utility of X M L Schemas for publishing.|DSDL schema languages do not have the vendor support of X M L Schemas yet, and are to some extent a grassroots reaction of industrial publishers to the lack of utility of X M L Schemas for publishing.
clips/audio_411.wav|Some schema languages not only describe the structure of a particular X M L format but also offer limited facilities to influence processing of individual X M L files that conform to this format|Some schema languages not only describe the structure of a particular X M L format but also offer limited facilities to influence processing of individual X M L files that conform to this format
clips/audio_412.wav|A cluster of specifications closely related to X M L have been developed, starting soon after the initial publication of X M L 1.0|A cluster of specifications closely related to X M L have been developed, starting soon after the initial publication of X M L 1.0
clips/audio_413.wav|It is frequently the case that the term "X M L" is used to refer to X M L together with one or more of these other technologies that have come to be seen as part of the X M L core.|It is frequently the case that the term "X M L" is used to refer to X M L together with one or more of these other technologies that have come to be seen as part of the X M L core.
clips/audio_414.wav|Some other specifications conceived as part of the "X M L Core" have failed to find wide adoption, including XInclude, XLink, and XPointer.|Some other specifications conceived as part of the "X M L Core" have failed to find wide adoption, including XInclude, XLink, and XPointer.
clips/audio_415.wav|The design goals of X M L include, "It shall be easy to write programs which process X M L documents."6 Despite this, the X M L specification contains almost no information about how programmers might go about doing such processing|The design goals of X M L include, "It shall be easy to write programs which process X M L documents."6 Despite this, the X M L specification contains almost no information about how programmers might go about doing such processing
clips/audio_416.wav|The X M L Infoset specification provides a vocabulary to refer to the constructs within an X M L document, but does not provide any guidance on how to access this information|The X M L Infoset specification provides a vocabulary to refer to the constructs within an X M L document, but does not provide any guidance on how to access this information
clips/audio_417.wav|A variety of A P Is for accessing X M L have been developed and used, and some have been standardized.|A variety of A P Is for accessing X M L have been developed and used, and some have been standardized.
clips/audio_418.wav|Existing A P Is for X M L processing tend to fall into these categories|Existing A P Is for X M L processing tend to fall into these categories
clips/audio_419.wav|Stream-oriented facilities require less memory and, for certain tasks based on a linear traversal of an X M L document, are faster and simpler than other alternatives|Stream-oriented facilities require less memory and, for certain tasks based on a linear traversal of an X M L document, are faster and simpler than other alternatives
clips/audio_420.wav|Tree-traversal and data-binding A P Is typically require the use of much more memory, but are often found more convenient for use by programmers some include declarative retrieval of document components via the use of XPath expressions.|Tree-traversal and data-binding A P Is typically require the use of much more memory, but are often found more convenient for use by programmers some include declarative retrieval of document components via the use of XPath expressions.
clips/audio_421.wav|XSLT is designed for declarative description of X M L document transformations, and has been widely implemented both in server-side packages and Web browsers|XSLT is designed for declarative description of X M L document transformations, and has been widely implemented both in server-side packages and Web browsers
clips/audio_422.wav|XQuery overlaps XSLT in its functionality, but is designed more for searching of large X M L databases.|XQuery overlaps XSLT in its functionality, but is designed more for searching of large X M L databases.
clips/audio_423.wav|Simple A P I for X M L SAX is a lexical, event-driven A P I in which a document is read serially and its contents are reported as callbacks to various methods on a handler object of the user's design|Simple A P I for X M L SAX is a lexical, event-driven A P I in which a document is read serially and its contents are reported as callbacks to various methods on a handler object of the user's design
clips/audio_424.wav|SAX is fast and efficient to implement, but difficult to use for extracting information at random from the X M L, since it tends to burden the application author with keeping track of what part of the document is being processed|SAX is fast and efficient to implement, but difficult to use for extracting information at random from the X M L, since it tends to burden the application author with keeping track of what part of the document is being processed
clips/audio_425.wav|It is better suited to situations in which certain types of information are always handled the same way, no matter where they occur in the document.|It is better suited to situations in which certain types of information are always handled the same way, no matter where they occur in the document.
clips/audio_426.wav|This allows for writing of recursive descent parsers in which the structure of the code performing the parsing mirrors the structure of the X M L being parsed, and intermediate parsed results can be used and accessed as local variables within the functions performing the parsing, or passed down as function parameters into lower-level functions, or returned as function return values to higher-level functions.22 Examples of pull parsers include DataEditXml in Perl, StAX in the Java programming language, X M LPullParser in Smalltalk, X M LReader in P H P, ElementTree.iterparse in Python, SmartX M L in Red, System.Xml.XmlReader in the .NET Framework, and the DOM traversal A P I NodeIterator and TreeWalker.|This allows for writing of recursive descent parsers in which the structure of the code performing the parsing mirrors the structure of the X M L being parsed, and intermediate parsed results can be used and accessed as local variables within the functions performing the parsing, or passed down as function parameters into lower-level functions, or returned as function return values to higher-level functions.22 Examples of pull parsers include DataEditXml in Perl, StAX in the Java programming language, X M LPullParser in Smalltalk, X M LReader in P H P, ElementTree.iterparse in Python, SmartX M L in Red, System.Xml.XmlReader in the .NET Framework, and the DOM traversal A P I NodeIterator and TreeWalker.
clips/audio_427.wav|A pull parser creates an iterator that sequentially visits the various elements, attributes, and data in an X M L document|A pull parser creates an iterator that sequentially visits the various elements, attributes, and data in an X M L document
clips/audio_428.wav|Code that uses this iterator can test the current item to tell, for example, whether it is a start-tag or end-tag, or text, and inspect its attributes local name, namespace, values of X M L attributes, value of text, etc., and can also move the iterator to the next item|Code that uses this iterator can test the current item to tell, for example, whether it is a start-tag or end-tag, or text, and inspect its attributes local name, namespace, values of X M L attributes, value of text, etc., and can also move the iterator to the next item
clips/audio_429.wav|The code can thus extract information from the document as it traverses it|The code can thus extract information from the document as it traverses it
clips/audio_430.wav|The recursive-descent approach tends to lend itself to keeping data as typed local variables in the code doing the parsing, while SAX, for instance, typically requires a parser to manually maintain intermediate data within a stack of elements that are parent elements of the element being parsed|The recursive-descent approach tends to lend itself to keeping data as typed local variables in the code doing the parsing, while SAX, for instance, typically requires a parser to manually maintain intermediate data within a stack of elements that are parent elements of the element being parsed
clips/audio_431.wav|Document Object Model DOM is an A P I that allows for navigation of the entire document as if it were a tree of node objects representing the document's contents|Document Object Model DOM is an A P I that allows for navigation of the entire document as if it were a tree of node objects representing the document's contents
clips/audio_432.wav|DOM implementations tend to be memory intensive, as they generally require the entire document to be loaded into memory and constructed as a tree of objects before access is allowed.|DOM implementations tend to be memory intensive, as they generally require the entire document to be loaded into memory and constructed as a tree of objects before access is allowed.
clips/audio_433.wav|X M L data binding is a technique for simplifying development of applications that need to work with X M L documents|X M L data binding is a technique for simplifying development of applications that need to work with X M L documents
clips/audio_434.wav|It involves mapping the X M L document to a hierarchy of strongly typed objects, rather than using the generic objects created by a DOM parser|It involves mapping the X M L document to a hierarchy of strongly typed objects, rather than using the generic objects created by a DOM parser
clips/audio_435.wav|X M L data binding is particularly well-suited for applications where the document structure is known and fixed at the time the application is written|X M L data binding is particularly well-suited for applications where the document structure is known and fixed at the time the application is written
clips/audio_436.wav|By creating a strongly typed representation of the X M L data, developers can take advantage of modern integrated development environments IDEs that provide features like auto-complete, code refactoring, and code highlighting|By creating a strongly typed representation of the X M L data, developers can take advantage of modern integrated development environments IDEs that provide features like auto-complete, code refactoring, and code highlighting
clips/audio_437.wav|Example data-binding systems include the Java Architecture for X M L Binding JAXB, X M L Serialization in .NET Framework,23 and X M L serialization in gSOAP.|Example data-binding systems include the Java Architecture for X M L Binding JAXB, X M L Serialization in .NET Framework,23 and X M L serialization in gSOAP.
clips/audio_438.wav|X M L has appeared as a first-class data type in other languages|X M L has appeared as a first-class data type in other languages
clips/audio_439.wav|The ECMAScript for X M L E4X extension to the ECMAScriptJava-Script language explicitly defines two specific objects X M L and X M LList for Java-Script, which support X M L document nodes and X M L node lists as distinct objects and use a dot-notation specifying parent-child relationships.24 E4X is supported by the Mozilla 2.5 browsers though now deprecated and Adobe Actionscript but has not been widely adopted|The ECMAScript for X M L E4X extension to the ECMAScriptJava-Script language explicitly defines two specific objects X M L and X M LList for Java-Script, which support X M L document nodes and X M L node lists as distinct objects and use a dot-notation specifying parent-child relationships.24 E4X is supported by the Mozilla 2.5 browsers though now deprecated and Adobe Actionscript but has not been widely adopted
clips/audio_440.wav|The open-source xmlsh application, which provides a Li-nux-like shell with special features for X M L manipulation, similarly treats X M L as a data type, using the   notation.25 The Resource Description Framework defines a data type rdfX M LLiteral to hold wrapped, canonical X M L.26 Facebook has produced extensions to the P H P and Java-Script languages that add X M L to the core syntax in a similar fashion to E4X, namely XHP and JSX respectively.|The open-source xmlsh application, which provides a Li-nux-like shell with special features for X M L manipulation, similarly treats X M L as a data type, using the   notation.25 The Resource Description Framework defines a data type rdfX M LLiteral to hold wrapped, canonical X M L.26 Facebook has produced extensions to the P H P and Java-Script languages that add X M L to the core syntax in a similar fashion to E4X, namely XHP and JSX respectively.
clips/audio_441.wav|X M L is an application profile of SGML ISO 8879.27|X M L is an application profile of SGML ISO 8879.27
clips/audio_442.wav|The versatility of SGML for dynamic information display was understood by early digital media publishers in the late 1980s prior to the rise of the Internet.2829 By the mid-1990s some practitioners of SGML had gained experience with the then-new World Wide Web, and believed that SGML offered solutions to some of the problems the Web was likely to face as it grew|The versatility of SGML for dynamic information display was understood by early digital media publishers in the late 1980s prior to the rise of the Internet.2829 By the mid-1990s some practitioners of SGML had gained experience with the then-new World Wide Web, and believed that SGML offered solutions to some of the problems the Web was likely to face as it grew
clips/audio_443.wav|Dan Connolly added SGML to the list of W3C's activities when he joined the staff in 1995 work began in mid-1996 when Sun Microsystems engineer Jon Bosak developed a charter and recruited collaborators|Dan Connolly added SGML to the list of W3C's activities when he joined the staff in 1995 work began in mid-1996 when Sun Microsystems engineer Jon Bosak developed a charter and recruited collaborators
clips/audio_444.wav|X M L was compiled by a working group of eleven members,31 supported by a roughly 150-member Interest Group|X M L was compiled by a working group of eleven members,31 supported by a roughly 150-member Interest Group
clips/audio_445.wav|A record of design decisions and their rationales was compiled by Michael Sperberg-McQueen on December 4, 1997.32 James Clark served as Technical Lead of the Working Group, notably contributing the empty-element empty  syntax and the name "X M L"|A record of design decisions and their rationales was compiled by Michael Sperberg-McQueen on December 4, 1997.32 James Clark served as Technical Lead of the Working Group, notably contributing the empty-element empty  syntax and the name "X M L"
clips/audio_446.wav|The X M L Working Group communicated primarily through email and weekly teleconferences|The X M L Working Group communicated primarily through email and weekly teleconferences
clips/audio_447.wav|The major design decisions were reached in a short burst of intense work between August and November 1996,33 when the first Working Draft of an X M L specification was published.34 Further design work continued through 1997, and X M L 1.0 became a W3C Recommendation on February 10, 1998.|The major design decisions were reached in a short burst of intense work between August and November 1996,33 when the first Working Draft of an X M L specification was published.34 Further design work continued through 1997, and X M L 1.0 became a W3C Recommendation on February 10, 1998.
clips/audio_448.wav|X M L is a profile of an ISO standard SGML, and most of X M L comes from SGML unchanged|X M L is a profile of an ISO standard SGML, and most of X M L comes from SGML unchanged
clips/audio_449.wav|The SGML declaration was removed thus X M L has a fixed delimiter set and adopts Unicode as the document character set.|The SGML declaration was removed thus X M L has a fixed delimiter set and adopts Unicode as the document character set.
clips/audio_450.wav|Other sources of technology for X M L were the TEI Text Encoding Initiative, which defined a profile of SGML for use as a "transfer syntax" and H T M L|Other sources of technology for X M L were the TEI Text Encoding Initiative, which defined a profile of SGML for use as a "transfer syntax" and H T M L
clips/audio_451.wav|The ERCSExtended Reference Concrete Syntax project of the SPREAD Standardization Project Regarding East Asian Documents project of the ISO-related ChinaJapanKorea Document Processing expert group was the basis of X M L 1.0's naming rules SPREAD also introduced hexadecimal numeric character references and the concept of references to make available all Unicode characters|The ERCSExtended Reference Concrete Syntax project of the SPREAD Standardization Project Regarding East Asian Documents project of the ISO-related ChinaJapanKorea Document Processing expert group was the basis of X M L 1.0's naming rules SPREAD also introduced hexadecimal numeric character references and the concept of references to make available all Unicode characters
clips/audio_452.wav|To support ERCS, X M L and H T M L better, the SGML standard IS 8879 was revised in 1996 and 1998 with WebSGML Adaptations.|To support ERCS, X M L and H T M L better, the SGML standard IS 8879 was revised in 1996 and 1998 with WebSGML Adaptations.
clips/audio_453.wav|Ideas that developed during discussion that are novel in X M L included the algorithm for encoding detection and the encoding header, the processing instruction target, the xmlspace attribute, and the new close delimiter for empty-element tags|Ideas that developed during discussion that are novel in X M L included the algorithm for encoding detection and the encoding header, the processing instruction target, the xmlspace attribute, and the new close delimiter for empty-element tags
clips/audio_454.wav|The notion of well-formedness as opposed to validity which enables parsing without a schema was first formalized in X M L, although it had been implemented successfully in the Electronic Book Technology "Dynatext" software35 the software from the University of Waterloo New Oxford English Dictionary Project the RISP LISP SGML text processor at Uniscope, Tokyo the US Army Missile Command IADS hypertext system Mentor Graphics Context Interleaf and Xerox Publishing System.|The notion of well-formedness as opposed to validity which enables parsing without a schema was first formalized in X M L, although it had been implemented successfully in the Electronic Book Technology "Dynatext" software35 the software from the University of Waterloo New Oxford English Dictionary Project the RISP LISP SGML text processor at Uniscope, Tokyo the US Army Missile Command IADS hypertext system Mentor Graphics Context Interleaf and Xerox Publishing System.
clips/audio_455.wav|The first X M L 1.0 was initially defined in 1998|The first X M L 1.0 was initially defined in 1998
clips/audio_456.wav|It has undergone minor revisions since then, without being given a new version number, and is currently in its fifth edition, as published on November 26, two hundred8|It has undergone minor revisions since then, without being given a new version number, and is currently in its fifth edition, as published on November 26, two hundred8
clips/audio_457.wav|The second X M L 1.1 was initially published on February 4, two hundred4, the same day as X M L 1.0 Third Edition,36 and is currently in its second edition, as published on August 16, two hundred6|The second X M L 1.1 was initially published on February 4, two hundred4, the same day as X M L 1.0 Third Edition,36 and is currently in its second edition, as published on August 16, two hundred6
clips/audio_458.wav|It contains features some contentious that are intended to make X M L easier to use in certain cases.37 The main changes are to enable the use of line-ending characters used on EBCDIC platforms, and the use of scripts and characters absent from Unicode 3.2|It contains features some contentious that are intended to make X M L easier to use in certain cases.37 The main changes are to enable the use of line-ending characters used on EBCDIC platforms, and the use of scripts and characters absent from Unicode 3.2
clips/audio_459.wav|X M L 1.1 is not very widely implemented and is recommended for use only by those who need its particular features.38|X M L 1.1 is not very widely implemented and is recommended for use only by those who need its particular features.38
clips/audio_460.wav|Prior to its fifth edition release, X M L 1.0 differed from X M L 1.1 in having stricter requirements for characters available for use in element and attribute names and unique identifiers in the first four editions of X M L 1.0 the characters were exclusively enumerated using a specific version of the Unicode standard Unicode 2.0 to Unicode 3.2. The fifth edition substitutes the mechanism of X M L 1.1, which is more future-proof but reduces redundancy|Prior to its fifth edition release, X M L 1.0 differed from X M L 1.1 in having stricter requirements for characters available for use in element and attribute names and unique identifiers in the first four editions of X M L 1.0 the characters were exclusively enumerated using a specific version of the Unicode standard Unicode 2.0 to Unicode 3.2. The fifth edition substitutes the mechanism of X M L 1.1, which is more future-proof but reduces redundancy
clips/audio_461.wav|The approach taken in the fifth edition of X M L 1.0 and in all editions of X M L 1.1 is that only certain characters are forbidden in names, and everything else is allowed to accommodate suitable name characters in future Unicode versions|The approach taken in the fifth edition of X M L 1.0 and in all editions of X M L 1.1 is that only certain characters are forbidden in names, and everything else is allowed to accommodate suitable name characters in future Unicode versions
clips/audio_462.wav|In the fifth edition, X M L names may contain characters in the Balinese, Cham, or Phoenician scripts among many others added to Unicode since Unicode 3.2.37|In the fifth edition, X M L names may contain characters in the Balinese, Cham, or Phoenician scripts among many others added to Unicode since Unicode 3.2.37
clips/audio_463.wav|Almost any Unicode code point can be used in the character data and attribute values of an X M L 1.01.1 document, even if the character corresponding to the code point is not defined in the current version of Unicode|Almost any Unicode code point can be used in the character data and attribute values of an X M L 1.01.1 document, even if the character corresponding to the code point is not defined in the current version of Unicode
clips/audio_464.wav|In character data and attribute values, X M L 1.1 allows the use of more control characters than X M L 1.0, but, for "robustness", most of the control characters introduced in X M L 1.1 must be expressed as numeric character references and x7F through x9F, which had been allowed in X M L 1.0, are in X M L 1.1 even required to be expressed as numeric character references39|In character data and attribute values, X M L 1.1 allows the use of more control characters than X M L 1.0, but, for "robustness", most of the control characters introduced in X M L 1.1 must be expressed as numeric character references and x7F through x9F, which had been allowed in X M L 1.0, are in X M L 1.1 even required to be expressed as numeric character references39
clips/audio_465.wav|Among the supported control characters in X M L 1.1 are two line break codes that must be treated as whitespace characters, which are the only control codes that can be written directly.|Among the supported control characters in X M L 1.1 are two line break codes that must be treated as whitespace characters, which are the only control codes that can be written directly.
clips/audio_466.wav|There has been discussion of an X M L 2.0, although no organization has announced plans for work on such a project|There has been discussion of an X M L 2.0, although no organization has announced plans for work on such a project
clips/audio_467.wav|X M L-SW SW for skunkworks, which one of the original developers of X M L has written,40 contains some proposals for what an X M L 2.0 might look like, including elimination of DTDs from syntax, as well as integration of X M L namespaces, X M L Base and X M L Information Set into the base standard.|X M L-SW SW for skunkworks, which one of the original developers of X M L has written,40 contains some proposals for what an X M L 2.0 might look like, including elimination of DTDs from syntax, as well as integration of X M L namespaces, X M L Base and X M L Information Set into the base standard.
clips/audio_468.wav|In 2012, James Clark technical lead of the X M L Working Group and John Cowan editor of the X M L 1.1 specification formed the MicroX M L Community Group within the W3C and published a specification for a significantly reduced subset of X M L.41|In 2012, James Clark technical lead of the X M L Working Group and John Cowan editor of the X M L 1.1 specification formed the MicroX M L Community Group within the W3C and published a specification for a significantly reduced subset of X M L.41
clips/audio_469.wav|The World Wide Web Consortium also has an X M L Binary Characterization Working Group doing preliminary research into use cases and properties for a binary encoding of X M L Information Set|The World Wide Web Consortium also has an X M L Binary Characterization Working Group doing preliminary research into use cases and properties for a binary encoding of X M L Information Set
clips/audio_470.wav|Since X M L is by definition text-based, ITU-T and ISO are using the name Fast Infoset for their own binary format ITU-T Rec|Since X M L is by definition text-based, ITU-T and ISO are using the name Fast Infoset for their own binary format ITU-T Rec
clips/audio_471.wav|X M L and its extensions have regularly been criticized for verbosity, complexity and redundancy.42|X M L and its extensions have regularly been criticized for verbosity, complexity and redundancy.42
clips/audio_472.wav|Mapping the basic tree model of X M L to type systems of programming languages or databases can be difficult, especially when X M L is used for exchanging highly structured data between applications, which was not its primary design goal|Mapping the basic tree model of X M L to type systems of programming languages or databases can be difficult, especially when X M L is used for exchanging highly structured data between applications, which was not its primary design goal
clips/audio_473.wav|However, X M L data binding systems allow applications to access X M L data directly from objects representing a data structure of the data in the programming language used, which ensures type safety, rather than using the DOM or SAX to retrieve data from a direct representation of the X M L itself|However, X M L data binding systems allow applications to access X M L data directly from objects representing a data structure of the data in the programming language used, which ensures type safety, rather than using the DOM or SAX to retrieve data from a direct representation of the X M L itself
clips/audio_474.wav|This is accomplished by automatically creating a mapping between elements of the X M L schema XSD of the document and members of a class to be represented in memory.|This is accomplished by automatically creating a mapping between elements of the X M L schema XSD of the document and members of a class to be represented in memory.
clips/audio_475.wav|Other criticisms attempt to refute the claim that X M L is a self-describing language43 though the X M L specification itself makes no such claim.|Other criticisms attempt to refute the claim that X M L is a self-describing language43 though the X M L specification itself makes no such claim.
clips/audio_476.wav|Jay-son, Yam-ul, and S-Expressions are frequently proposed as simpler alternatives see Comparison of data-serialization formats44 that focus on representing highly structured data rather than documents, which may contain both highly structured and relatively unstructured content|Jay-son, Yam-ul, and S-Expressions are frequently proposed as simpler alternatives see Comparison of data-serialization formats44 that focus on representing highly structured data rather than documents, which may contain both highly structured and relatively unstructured content
clips/audio_477.wav|However, W3C standardized X M L schema specifications offer a broader range of structured XSD data types compared to simpler serialization formats and offer modularity and reuse through X M L namespaces.|However, W3C standardized X M L schema specifications offer a broader range of structured XSD data types compared to simpler serialization formats and offer modularity and reuse through X M L namespaces.
clips/audio_478.wav|When A P Is send data, chances are they send it as Jay-son objects|When A P Is send data, chances are they send it as Jay-son objects
clips/audio_479.wav|Here's a primer on why Jay-son is how networked applications send data|Here's a primer on why Jay-son is how networked applications send data
clips/audio_480.wav|From early on, the format that this data was transferred in mattered, and like the web, the best formats were open standards that anyone could use and contribute to|From early on, the format that this data was transferred in mattered, and like the web, the best formats were open standards that anyone could use and contribute to
clips/audio_481.wav|X M L gained early popularity, as it looked like H T M L, the foundation of the web|X M L gained early popularity, as it looked like H T M L, the foundation of the web
clips/audio_482.wav|Thats where Jay-son Java-Script Object Notation comes in|Thats where Jay-son Java-Script Object Notation comes in
clips/audio_483.wav|If youve consumed an A P I in the last five to ten years, youve probably seen Jay-son data|If youve consumed an A P I in the last five to ten years, youve probably seen Jay-son data
clips/audio_484.wav|While the format was first developed in the early two hundred0s, the first standards were published in two hundred6|While the format was first developed in the early two hundred0s, the first standards were published in two hundred6
clips/audio_485.wav|Understanding what Jay-son is and how it works is a foundational skill for any web developer.|Understanding what Jay-son is and how it works is a foundational skill for any web developer.
clips/audio_486.wav|In this article, well cover the basics of what Jay-son looks like and how to use it in your web applications, as well as talk about serialized Jay-sonJST and J W Tand the competing data formats.|In this article, well cover the basics of what Jay-son looks like and how to use it in your web applications, as well as talk about serialized Jay-sonJST and J W Tand the competing data formats.
clips/audio_487.wav|Jay-son is a human-readable format for storing and transmitting data|Jay-son is a human-readable format for storing and transmitting data
clips/audio_488.wav|As the name implies, it was originally developed for Java-Script, but can be used in any language and is very popular in web applications|As the name implies, it was originally developed for Java-Script, but can be used in any language and is very popular in web applications
clips/audio_489.wav|The basic structure is built from one or more keys and values|The basic structure is built from one or more keys and values
clips/audio_490.wav|Youll often see a collection of keyvalue pairs enclosed in brackets described as a Jay-son object|Youll often see a collection of keyvalue pairs enclosed in brackets described as a Jay-son object
clips/audio_491.wav|While the key is any string, the value can be a string, number, array, additional object, or the literals, false, true and null|While the key is any string, the value can be a string, number, array, additional object, or the literals, false, true and null
clips/audio_492.wav|For example, the following is valid Jay-son|For example, the following is valid Jay-son
clips/audio_493.wav|Jay-son doesn't have to have only keyvalue pairs the specification allows to any value to be passed without a key|Jay-son doesn't have to have only keyvalue pairs the specification allows to any value to be passed without a key
clips/audio_494.wav|However, almost all of the Jay-son objects that you see will contain keyvalue pairs.|However, almost all of the Jay-son objects that you see will contain keyvalue pairs.
clips/audio_495.wav|One of the most common uses for Jay-son is when using an A P I, both in requests and responses|One of the most common uses for Jay-son is when using an A P I, both in requests and responses
clips/audio_496.wav|It is much more compact than other standards and allows for easy consumption in web browsers as Java-Script can easily parse Jay-son strings, only requiring Jay-son.parse to start using it.|It is much more compact than other standards and allows for easy consumption in web browsers as Java-Script can easily parse Jay-son strings, only requiring Jay-son.parse to start using it.
clips/audio_497.wav|Jay-son.parsestring takes a string of valid Jay-son and returns a Java-Script object|Jay-son.parsestring takes a string of valid Jay-son and returns a Java-Script object
clips/audio_498.wav|For example, it can be called on the body of an A P I response to give you a usable object|For example, it can be called on the body of an A P I response to give you a usable object
clips/audio_499.wav|The inverse of this function is Jay-son.stringifyobject which takes a Java-Script object and returns a string of Jay-son, which can then be transmitted in an A P I request or response.|The inverse of this function is Jay-son.stringifyobject which takes a Java-Script object and returns a string of Jay-son, which can then be transmitted in an A P I request or response.
clips/audio_500.wav|Jay-son isnt required by REST or GraphQL, both very popular A P I formats|Jay-son isnt required by REST or GraphQL, both very popular A P I formats
clips/audio_501.wav|However, they are often used together, particularly with GraphQL, where it is best practice to use Jay-son due to it being small and mostly text|However, they are often used together, particularly with GraphQL, where it is best practice to use Jay-son due to it being small and mostly text
clips/audio_502.wav|GraphQL's requests arent made in Jay-son, instead using a system that resembles Jay-son, like this|GraphQL's requests arent made in Jay-son, instead using a system that resembles Jay-son, like this
clips/audio_503.wav|Which will return the relevant data, and if using Jay-son, it will match very closely|Which will return the relevant data, and if using Jay-son, it will match very closely
clips/audio_504.wav|In some cases, you may want to load Jay-son from a file, such as for configuration files or mock data|In some cases, you may want to load Jay-son from a file, such as for configuration files or mock data
clips/audio_505.wav|Using pure Java-Script, it currently isnt possible to import a Jay-son file, however a proposal has been created to allow this|Using pure Java-Script, it currently isnt possible to import a Jay-son file, however a proposal has been created to allow this
clips/audio_506.wav|Currently, you can get equivalent functionality by exporting a Java-Script Object the same as your desired Jay-son from a Java-Script file.|Currently, you can get equivalent functionality by exporting a Java-Script Object the same as your desired Jay-son from a Java-Script file.
clips/audio_507.wav|Now this object will be stored in the constant, data, and will be accessible throughout your application using import or require statements|Now this object will be stored in the constant, data, and will be accessible throughout your application using import or require statements
clips/audio_508.wav|Jay-son isnt the only web-friendly data standard out there|Jay-son isnt the only web-friendly data standard out there
clips/audio_509.wav|The major competitor for Jay-son in A P Is is X M L|The major competitor for Jay-son in A P Is is X M L
clips/audio_510.wav|Instead of the following Jay-son|Instead of the following Jay-son
clips/audio_511.wav|in X M L, youd instead have|in X M L, youd instead have
clips/audio_512.wav|Jay-son was standardized much later than X M L, with the specification for X M L coming in 1998, whereas Ecma International standardized Jay-son in 2013|Jay-son was standardized much later than X M L, with the specification for X M L coming in 1998, whereas Ecma International standardized Jay-son in 2013
clips/audio_513.wav|X M L was extremely popular and seen in standards such as AJAX Asynchronous Java-Script and X M L and the X M LHttpRequest function in Java-Script.|X M L was extremely popular and seen in standards such as AJAX Asynchronous Java-Script and X M L and the X M LHttpRequest function in Java-Script.
clips/audio_514.wav|X M L used by a major A P I standard Simple Object Access Protocol SOAP|X M L used by a major A P I standard Simple Object Access Protocol SOAP
clips/audio_515.wav|This standard can be significantly more verbose than REST and GraphQL, in part due to the usage of X M L and because the standard includes more information, such as describing the X M L namespace as part of the envelope system|This standard can be significantly more verbose than REST and GraphQL, in part due to the usage of X M L and because the standard includes more information, such as describing the X M L namespace as part of the envelope system
clips/audio_516.wav|Another alternative is Yam-ul, which is much more similar in length to Jay-son compared to X M L, with the same example being|Another alternative is Yam-ul, which is much more similar in length to Jay-son compared to X M L, with the same example being
clips/audio_517.wav|However, unlike X M L, Yam-ul doesnt really compete with Jay-son as an A P I data format|However, unlike X M L, Yam-ul doesnt really compete with Jay-son as an A P I data format
clips/audio_518.wav|Instead, its primarily used for configuration filesKoo-ber-net-ees primarily uses Yam-ul to configure infrastructure|Instead, its primarily used for configuration filesKoo-ber-net-ees primarily uses Yam-ul to configure infrastructure
clips/audio_519.wav|Yam-ul offers features that Jay-son doesnt have, such as comments|Yam-ul offers features that Jay-son doesnt have, such as comments
clips/audio_520.wav|Unlike Jay-son and X M L, browsers cannot parse Yam-ul, so a parser would need to be added as a library if you want to use Yam-ul for data interchange.|Unlike Jay-son and X M L, browsers cannot parse Yam-ul, so a parser would need to be added as a library if you want to use Yam-ul for data interchange.
clips/audio_521.wav|While many of Jay-sons use cases transmit it as clear text, the format can be used for secure data transfers as well|While many of Jay-sons use cases transmit it as clear text, the format can be used for secure data transfers as well
clips/audio_522.wav|Jay-son web signatures JWS are Jay-son objects securely signed using either a secret or a publicprivate key pair|Jay-son web signatures JWS are Jay-son objects securely signed using either a secret or a publicprivate key pair
clips/audio_523.wav|The only required field is alg to specify the encryption algorithm used, but many other keys can be included, such as typ for the type of signature it is.|The only required field is alg to specify the encryption algorithm used, but many other keys can be included, such as typ for the type of signature it is.
clips/audio_524.wav|The payload of a JWS is the information being transmitted and doesnt need to be formatted in Jay-son though commonly is.|The payload of a JWS is the information being transmitted and doesnt need to be formatted in Jay-son though commonly is.
clips/audio_525.wav|eyJ0eXAiOiJKV1QiLA0KICJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJqb2UiLA0KICJleHAiOjEzMDA4MTkzODAsDQogImh0dHA6Ly9leGFtcGxlLmNvbS9pc19yb290Ijp0cnVlfQ.dBjftJeZ4CVP-mB92K27uhbUJU1p1r_wW1gFWFOEjXk|eyJ0eXAiOiJKV1QiLA0KICJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJqb2UiLA0KICJleHAiOjEzMDA4MTkzODAsDQogImh0dHA6Ly9leGFtcGxlLmNvbS9pc19yb290Ijp0cnVlfQ.dBjftJeZ4CVP-mB92K27uhbUJU1p1r_wW1gFWFOEjXk
clips/audio_526.wav|Jay-son Web Tokens J W T are a special form of a JWS|Jay-son Web Tokens J W T are a special form of a JWS
clips/audio_527.wav|These are particularly useful for authorization when a user logs into a website, they will be provided with a J W T|These are particularly useful for authorization when a user logs into a website, they will be provided with a J W T
clips/audio_528.wav|To create a J W T from a JWS, youll need to configure each section specifically|To create a J W T from a JWS, youll need to configure each section specifically
clips/audio_529.wav|In the header, ensure that the typ key is J W T|In the header, ensure that the typ key is J W T
